Unnamed: 0,"Up IC (120 nA, 1e9 scale)","Flightpath pind (120 uA, 1e6 scale)",Calibrated pind,8ID pind,Att. Ratio,Att Ratio (entered),Unnamed: 7,Unnamed: 8
Shutter closed,-2.6e-10,1.203e-06,"0 (120 nA, 1e9 scale)","0 (120 nA, 1e9 scale)",,,,
Att Index 0,3.94e-08,Saturated,Saturated,Saturated,1.0,1.0,,
Att Index 6,2.65e-08,0.0001132,Saturated,0.0001123,3.609,3.0,,
Att Index 8,7.7e-09,3.36e-05,3.98e-05,3.27e-05,5.104,5.0,,
Att Index 10,5e-09,2.29e-05,2.67e-05,2.19e-05,7.829,7.0,,
Att Index 11,3.8e-09,1.88e-05,2.15e-05,1.76e-05,9.697,9.0,,
Att Index 12,7.6e-09,3.38e-05,3.98e-05,3.28e-05,12.01,11.0,,
Att index 13,6e-09,2.74e-05,3.22e-05,2.63e-05,14.875,14.0,,
Att index 14,5e-09,2.3e-05,2.225e-05,2.19e-05,18.422,16.0,,
Att index 17,1e-09,6.5e-06,6.5e-06,5.14e-06,32.267,32.0,,
Att index 21,1.1e-09,6.4e-06,6.5e-06,5.14e-06,75.92,64.0,,
Att index 24,-1e-10,2.483e-06,1.58e-06,1.24e-06,132.976,128.0,,
Att index 28,-2e-10,2.48e-06,1.58e-06,1.25e-06,312.88,256.0,,
Att index 31,-3e-10,1.89e-06,8.57e-07,6.7e-07,594.428,512.0,,
Att index 34,,,2.27e-07,1.91e-07,1041.1,1024.0,,
Att index 38,,,2.27e-07,1.91e-07,2449.7,2048.0,,
Att index 42,,,3.92e-08,3.2e-08,4191.5,4096.0,,
Att index 50,,,3.93e-08,3.23e-08,9862.4,8192.0,,
Att index 56,,,9.53e-09,7.8e-09,17270.0,16384.0,,
Att index 62,,,5.1e-09,4.25e-09,32820.0,32768.0,,
Att index 70,,,5.2e-09,4.24e-09,77220.0,65536.0,,
Att index 76,,,1.3e-09,1e-09,135200.0,131072.0,,
