acquisition,incident_beam_intensity,transmitted_beam_intensity,ring_current,start_time,end_time
B0010_S1_006C_att00_Rq0_00001,601699.0,203548.0,89.91007995605469,2022-03-02 14:24:37,2022-03-02 14:24:39
B0010_S1_006C_att00_Rq0_00002,599796.0,202853.0,89.9071044921875,2022-03-02 14:24:43,2022-03-02 14:24:46
B0010_S1_006C_att00_Rq0_00003,600069.0,203549.0,89.90177917480469,2022-03-02 14:24:55,2022-03-02 14:24:58
B0010_S1_006C_att00_Rq0_00004,605858.0,205517.0,89.89775085449219,2022-03-02 14:25:01,2022-03-02 14:25:03
B0010_S1_006C_att00_Rq0_00005,599416.0,203306.0,89.8947982788086,2022-03-02 14:25:07,2022-03-02 14:25:09
B0010_S1_006C_att00_Rq0_00006,599992.0,204547.0,89.89254760742188,2022-03-02 14:25:12,2022-03-02 14:25:15
B0010_S1_006C_att00_Rq0_00007,606228.0,205562.0,89.89002990722656,2022-03-02 14:25:18,2022-03-02 14:25:20
B0010_S1_006C_att00_Rq0_00008,605904.0,205456.0,89.8874740600586,2022-03-02 14:25:24,2022-03-02 14:25:26
B0010_S1_006C_att00_Rq0_00009,597465.0,203700.0,89.88363647460938,2022-03-02 14:25:29,2022-03-02 14:25:32
B0010_S1_006C_att00_Rq0_00010,605533.0,205265.0,89.88212585449219,2022-03-02 14:25:35,2022-03-02 14:25:37
B0010_S1_006C_att00_Rq0_00011,598756.0,202946.0,89.87993621826172,2022-03-02 14:25:41,2022-03-02 14:25:43
B0010_S1_006C_att00_Rq0_00012,603573.0,204564.0,89.87645721435547,2022-03-02 14:25:46,2022-03-02 14:25:49
B0010_S1_006C_att00_Rq0_00013,596554.0,203215.0,89.8716812133789,2022-03-02 14:25:54,2022-03-02 14:25:57
B0010_S1_006C_att00_Rq0_00014,605460.0,205102.0,89.86911010742188,2022-03-02 14:26:00,2022-03-02 14:26:02
B0010_S1_006C_att00_Rq0_00015,605469.0,205092.0,89.86669921875,2022-03-02 14:26:05,2022-03-02 14:26:08
B0010_S1_006C_att00_Rq0_00016,602475.0,204046.0,89.86328125,2022-03-02 14:26:11,2022-03-02 14:26:14
B0010_S1_006C_att00_Rq0_00017,602130.0,203895.0,89.86094665527344,2022-03-02 14:26:18,2022-03-02 14:26:20
B0010_S1_006C_att00_Rq0_00018,603562.0,204357.0,89.85675048828125,2022-03-02 14:26:24,2022-03-02 14:26:26
B0010_S1_006C_att00_Rq0_00019,596858.0,202029.0,89.8553466796875,2022-03-02 14:26:29,2022-03-02 14:26:32
B0010_S1_006C_att00_Rq0_00020,598269.0,203547.0,89.8534164428711,2022-03-02 14:26:35,2022-03-02 14:26:37
B0016_S1_006C_att00_Rq0_00001,577095.0,195403.0,86.79671478271484,2022-03-02 16:17:31,2022-03-02 16:17:33
B0016_S1_006C_att00_Rq0_00002,577115.0,195341.0,86.79219055175781,2022-03-02 16:17:40,2022-03-02 16:17:43
B0016_S1_006C_att00_Rq0_00003,579348.0,196682.0,86.78813934326172,2022-03-02 16:17:49,2022-03-02 16:17:51
B0016_S1_006C_att00_Rq0_00004,575512.0,195418.0,86.78587341308594,2022-03-02 16:17:54,2022-03-02 16:17:57
B0016_S1_006C_att00_Rq0_00005,576664.0,195774.0,86.7841567993164,2022-03-02 16:18:00,2022-03-02 16:18:02
B0016_S1_006C_att00_Rq0_00006,579733.0,196781.0,86.7815933227539,2022-03-02 16:18:06,2022-03-02 16:18:08
