Q(A^-1),I(Q),I_err(Q)
4.638902739999999948e-03,3.463495485299999928e+03,6.420763567102608249e+02
4.771445739999999672e-03,3.296397612100000060e+03,8.631231081897981312e+02
4.907775770000000030e-03,2.895546570100000281e+03,4.375545382193569708e+02
5.048001029999999757e-03,2.741873924999999872e+03,7.176302157494457106e+02
5.192232809999999983e-03,2.579622724800000015e+03,3.898188069132074247e+02
5.340585580000000408e-03,2.474340426399999615e+03,2.902853264917779939e+02
5.493177109999999690e-03,2.231654326899999887e+03,2.610727156947976368e+02
5.650128479999999738e-03,2.053214661499999693e+03,5.367733359897583796e+02
5.811564279999999715e-03,1.944625548299999991e+03,1.608703873070731163e+02
5.977612640000000248e-03,1.815978345100000070e+03,1.939135466251970286e+02
6.148405330000000432e-03,1.670071618899999976e+03,1.782860453553826687e+02
6.324077929999999750e-03,1.556291994200000090e+03,1.438113649889886858e+02
6.504769849999999728e-03,1.441734428799999932e+03,1.136651909110431262e+02
6.690624519999999707e-03,1.338017400199999884e+03,1.236407407838154455e+02
6.881789430000000152e-03,1.220888552000000118e+03,1.063381776538793133e+02
7.078416320000000157e-03,1.134612282599999844e+03,7.921047535103286918e+01
7.280661239999999812e-03,1.043051642399999992e+03,9.083155730572966036e+01
7.488684720000000385e-03,9.442309440000000222e+02,6.589636341193285318e+01
7.702651859999999628e-03,8.758020303300000933e+02,6.605290161695783979e+01
7.922732479999999855e-03,8.117917651199999227e+02,6.121667457251028566e+01
8.149101250000000476e-03,7.343346626300000253e+02,4.521262340262874346e+01
8.381937849999999968e-03,6.823225235700000439e+02,4.942808740856980876e+01
8.621427060000000711e-03,6.114859320600000956e+02,3.872244490890032154e+01
8.867758979999999444e-03,5.739308714900000723e+02,3.869531172029210353e+01
9.121129110000000817e-03,5.186063423399999692e+02,3.107224905086983213e+01
9.381738540000000154e-03,4.693134360700000229e+02,2.556324016189998005e+01
9.649794119999999253e-03,4.299937009900000362e+02,2.900611144161831234e+01
9.925508600000000625e-03,3.915757773399999451e+02,1.968908198455802960e+01
1.020910080000000074e-02,3.521689126599999895e+02,2.008120963588377350e+01
1.050079580000000054e-02,3.237183674900000483e+02,1.727690787518574922e+01
1.080082519999999921e-02,2.947276358799999798e+02,1.510926864772387290e+01
1.110942699999999984e-02,2.661332357299999671e+02,1.230353702585088094e+01
1.142684620000000012e-02,2.395614608900000064e+02,1.205773034019071765e+01
1.175333469999999964e-02,2.200873525099999881e+02,1.051852768322651599e+01
1.208915170000000004e-02,1.987595905000000016e+02,8.440582404849211073e+00
1.243456360000000024e-02,1.820743013200000178e+02,7.941461183830456960e+00
1.278984470000000054e-02,1.646968223199999954e+02,6.224756707945526379e+00
1.315527690000000034e-02,1.496551781100000085e+02,5.715884569253646852e+00
1.353115019999999967e-02,1.367114628400000242e+02,4.828462715497527036e+00
1.391776299999999966e-02,1.240174074600000012e+02,4.161124604827260320e+00
1.431542220000000046e-02,1.132609010500000011e+02,3.682080084842895840e+00
1.472444319999999945e-02,1.036641553700000031e+02,3.272585760011812894e+00
1.514515089999999946e-02,9.531425117000000569e+01,2.888713840096583940e+00
1.557787899999999934e-02,8.738313891999999328e+01,2.580394139771446049e+00
1.602297109999999830e-02,8.016061725000000138e+01,2.282596696572807726e+00
1.648078039999999883e-02,7.393833835999998882e+01,2.035397112288414689e+00
1.695167020000000122e-02,6.824279672000000119e+01,1.784239825626776854e+00
1.743601430000000022e-02,6.287758423999999735e+01,1.555038233581214069e+00
1.793419710000000028e-02,5.784706932799999635e+01,1.412810638945634967e+00
1.844661400000000007e-02,5.332839904099999728e+01,1.270781485168181346e+00
1.897367180000000125e-02,4.930087525399999748e+01,1.109248406855461111e+00
1.951578860000000026e-02,4.522980554999999470e+01,1.007588063113890708e+00
2.007339489999999949e-02,4.155474771399999412e+01,8.837459702031639219e-01
2.064693310000000059e-02,3.781189699900000534e+01,7.766136618107315481e-01
2.123685850000000055e-02,3.492848137600000058e+01,7.271730019213389351e-01
2.184363920000000070e-02,3.241843030999999797e+01,6.526399658454949959e-01
2.246775700000000139e-02,2.983886344500000121e+01,6.031553129384453760e-01
2.310970700000000017e-02,2.742559355000000210e+01,5.353444062655721147e-01
2.376999889999999865e-02,2.503332304399999941e+01,4.845633866854295313e-01
2.444915669999999860e-02,2.298229935999999896e+01,4.410249112267316529e-01
2.514771940000000081e-02,2.109398684499999987e+01,3.831403571739461777e-01
2.586624150000000136e-02,1.923690029700000181e+01,3.453506242904161305e-01
2.660529329999999915e-02,1.757808700300000027e+01,3.171582916268063657e-01
2.736546130000000118e-02,1.606320339800000241e+01,2.787263175136659998e-01
2.814734890000000073e-02,1.460490778199999973e+01,2.433859148921896365e-01
2.895157649999999944e-02,1.326397444800000081e+01,2.219637119772314982e-01
2.977878269999999911e-02,1.206906529699999986e+01,1.927361570314478911e-01
3.062962379999999846e-02,1.092179095699999891e+01,1.740900373274761881e-01
3.150477520000000142e-02,9.883754294000000939e+00,1.526492115044538189e-01
3.240493149999999767e-02,8.951227612000000278e+00,1.383344651769508604e-01
3.333080709999999836e-02,8.081806461999999414e+00,1.227420628844129863e-01
3.428313680000000252e-02,7.301017800000000335e+00,1.107427357118632161e-01
3.526267660000000081e-02,6.603795954999999829e+00,9.904539822026556251e-02
3.627020389999999900e-02,5.991926405000000067e+00,9.112061710371932577e-02
3.730651819999999952e-02,5.367653511000000321e+00,8.064172703104442730e-02
3.837244229999999673e-02,4.880390227000000358e+00,7.147885677496923496e-02
3.946882189999999929e-02,4.443008319999999678e+00,6.405781546348329747e-02
4.059652739999999871e-02,4.021709683000000091e+00,5.587750691281342247e-02
4.175645370000000134e-02,3.629980912999999809e+00,4.902985777506492504e-02
4.294952159999999852e-02,3.309173574999999978e+00,4.418449227668277968e-02
4.417667780000000127e-02,3.016453725999999946e+00,3.974316034663162578e-02
4.543889639999999785e-02,2.741423569999999810e+00,3.592402583517050746e-02
4.673717919999999942e-02,2.519158688000000090e+00,3.213056938896255432e-02
4.807255660000000347e-02,2.289745072000000103e+00,2.926616161468303945e-02
4.944608849999999889e-02,2.111119023000000094e+00,2.687058666916963129e-02
5.085886509999999749e-02,1.950233220000000101e+00,2.420291918304654649e-02
5.231200750000000038e-02,1.785800504000000233e+00,2.241758647065380042e-02
5.380666919999999714e-02,1.660109465000000117e+00,2.069935173543266047e-02
5.534403649999999897e-02,1.542955879999999835e+00,2.006301765404550075e-02
