Q(A^-1),I(Q),I_err(Q)
8.149101250000000476e-03,1.745617160000001000e+00,1.098880592305910842e+00
8.381937849999999968e-03,1.535717979999999372e+00,1.202820950742797601e+00
8.621427060000000711e-03,1.691614010000000334e+00,9.807078878369149821e-01
8.867758979999999444e-03,1.583912100000000045e+00,9.682727255067447025e-01
9.121129110000000817e-03,1.651105209999999879e+00,8.034564338653367166e-01
9.381738540000000154e-03,1.786762159999999433e+00,6.921278738235538963e-01
9.649794119999999253e-03,1.607820170000000104e+00,7.941914721053576764e-01
9.925508600000000625e-03,1.710908360000000350e+00,5.588525578825895845e-01
1.020910080000000074e-02,1.645771430000000368e+00,5.990758399717951432e-01
1.050079580000000054e-02,1.812403220000000204e+00,5.416108999136409752e-01
1.080082519999999921e-02,1.652944340000000345e+00,4.787908452287794603e-01
1.110942699999999984e-02,1.662365910000000113e+00,4.108165056737849707e-01
1.142684620000000012e-02,1.664948610000000162e+00,4.237664834089987509e-01
1.175333469999999964e-02,1.731319800000000075e+00,3.868823190805369960e-01
1.208915170000000004e-02,1.591648779999999874e+00,3.189935428521866179e-01
1.243456360000000024e-02,1.724919250000000126e+00,3.184584251047121728e-01
1.278984470000000054e-02,1.669688410000000012e+00,2.606425868057514195e-01
1.315527690000000034e-02,1.749773779999999945e+00,2.562203158091624355e-01
1.353115019999999967e-02,1.678812790000000055e+00,2.265522516758455007e-01
1.391776299999999966e-02,1.670617009999999958e+00,2.030384301142705294e-01
1.431542220000000046e-02,1.692120169999999924e+00,1.945572256242130427e-01
1.472444319999999945e-02,1.631207999999999991e+00,1.784000903733498622e-01
1.514515089999999946e-02,1.645266029999999935e+00,1.664649141094262097e-01
1.557787899999999934e-02,1.614284410000000003e+00,1.572445672471867451e-01
1.602297109999999830e-02,1.630903450000000143e+00,1.477021283814173580e-01
1.648078039999999883e-02,1.679127509999999823e+00,1.399214979386272650e-01
1.695167020000000122e-02,1.689975680000000313e+00,1.305098103055385705e-01
1.743601430000000022e-02,1.605680670000000143e+00,1.165061504503859258e-01
1.793419710000000028e-02,1.689205091000000269e+00,1.159301987485177599e-01
1.844661400000000007e-02,1.615783568000000336e+00,1.083416742769683361e-01
1.897367180000000125e-02,1.705454661999999733e+00,1.036174874547662605e-01
1.951578860000000026e-02,1.645339006999999798e+00,9.849654323794135302e-02
2.007339489999999949e-02,1.606780592999999868e+00,9.064871315116736217e-02
2.064693310000000059e-02,1.596362195999999845e+00,8.505261197289051833e-02
2.123685850000000055e-02,1.585253377999999991e+00,8.521596920930328556e-02
2.184363920000000070e-02,1.600615829000000101e+00,8.241447298048859560e-02
2.246775700000000139e-02,1.608710961999999967e+00,8.197363968481394259e-02
2.310970700000000017e-02,1.587319353000000044e+00,7.779550387883650553e-02
2.376999889999999865e-02,1.585186148000000017e+00,7.573081605835167707e-02
2.444915669999999860e-02,1.561498091999999893e+00,7.352896377192548460e-02
2.514771940000000081e-02,1.541603771999999761e+00,6.846021932742420157e-02
2.586624150000000136e-02,1.547901749999999854e+00,6.755471685635550116e-02
2.660529329999999915e-02,1.525999336999999789e+00,6.653259436397687687e-02
2.736546130000000118e-02,1.535900542000000035e+00,6.320345229251472796e-02
2.814734890000000073e-02,1.519640128000000034e+00,6.031808852539076449e-02
2.895157649999999944e-02,1.528258320000000170e+00,5.992762169795658178e-02
2.977878269999999911e-02,1.487613234999999978e+00,5.587483664394420069e-02
3.062962379999999846e-02,1.473560753999999973e+00,5.489401626251431271e-02
3.150477520000000142e-02,1.443121909000000036e+00,5.208610231330042251e-02
3.240493149999999767e-02,1.429742625999999905e+00,5.123484239557218184e-02
3.333080709999999836e-02,1.420029986000000077e+00,4.979109533930237835e-02
3.428313680000000252e-02,1.415170548000000084e+00,4.905153638717355685e-02
3.526267660000000081e-02,1.395257239999999843e+00,4.741434853554839929e-02
3.627020389999999900e-02,1.381227438000000030e+00,4.744802041826019778e-02
3.730651819999999952e-02,1.345105022999999900e+00,4.525230079319156329e-02
3.837244229999999673e-02,1.327130676000000120e+00,4.332779277155760639e-02
3.946882189999999929e-02,1.314873176000000088e+00,4.171589815957549296e-02
4.059652739999999871e-02,1.291287328000000123e+00,3.921006344928967130e-02
4.175645370000000134e-02,1.282429338000000030e+00,3.736915587109258113e-02
4.294952159999999852e-02,1.237052406000000104e+00,3.558511755858552450e-02
4.417667780000000127e-02,1.227582541000000083e+00,3.443486640955330247e-02
4.543889639999999785e-02,1.201213627000000006e+00,3.319430557304442475e-02
4.673717919999999942e-02,1.189636917000000071e+00,3.147687934720629077e-02
4.807255660000000347e-02,1.167640176000000141e+00,3.036996785948026939e-02
4.944608849999999889e-02,1.123490435000000121e+00,2.901016211604137349e-02
5.085886509999999749e-02,1.117846935999999847e+00,2.764045071366551601e-02
5.231200750000000038e-02,1.080272554999999857e+00,2.684452676634555002e-02
5.380666919999999714e-02,1.068364711999999939e+00,2.598315674383163201e-02
5.534403649999999897e-02,1.017885705999999946e+00,2.569245558692190637e-02
5.692532959999999781e-02,1.007290797000000016e+00,2.554292546172303932e-02
5.855180339999999789e-02,9.820324840000000943e-01,2.357675673128036345e-02
6.022474900000000103e-02,9.690418089999999207e-01,2.241366763086197547e-02
6.194549399999999678e-02,9.260758149999999134e-01,2.111476944807546760e-02
6.371540430000000033e-02,8.937654830000001382e-01,1.990864051388255632e-02
6.553588450000000232e-02,8.779296050000000573e-01,1.900176108119882787e-02
6.740837959999999851e-02,8.464586669999998314e-01,1.812407102653622315e-02
6.933437580000000044e-02,8.352238229999999763e-01,1.797442138424022381e-02
7.131540159999999462e-02,7.954456780000001004e-01,1.730959920740509847e-02
7.335302940000000549e-02,7.672098960000000023e-01,1.644076129234667283e-02
7.544887640000000339e-02,7.448718759999999328e-01,1.531658965952051137e-02
7.760460610000000092e-02,7.006698019999999527e-01,1.434271771312871022e-02
7.982192949999999954e-02,6.835280690000000714e-01,1.365869204445301077e-02
8.210260630000000559e-02,6.607562759999999757e-01,1.306996164294740859e-02
8.444844679999999326e-02,6.168302600000000746e-01,1.224834526017696927e-02
8.686131269999999849e-02,5.967386120000000016e-01,1.163143228159481922e-02
8.934311920000000129e-02,5.811099259999999989e-01,1.106549031128144581e-02
9.189583599999999464e-02,5.609586660000001057e-01,1.058678404787024088e-02
9.452148920000000287e-02,5.298872820000000150e-01,1.004859620381337755e-02
9.722216270000000327e-02,5.093018129999999921e-01,9.541714614862991869e-03
1.000000000000000056e-01,4.873416540000000685e-01,9.870374630719760609e-03
1.019999999999999934e-01,4.725623220000000346e-01,1.050746873038770415e-02
1.039999999999999952e-01,4.603233939999999969e-01,1.050454308159825927e-02
1.059999999999999970e-01,4.358904560000000372e-01,1.026538283997372944e-02
1.079999999999999988e-01,4.227942949999999867e-01,1.011298351720416738e-02
1.100000000000000006e-01,4.041706389999999427e-01,9.669521955406185088e-03
1.120000000000000023e-01,3.937319809999999531e-01,9.934418729387309646e-03
1.140000000000000041e-01,3.848716949999999581e-01,1.002058632810528399e-02
1.160000000000000059e-01,3.687517039999999580e-01,9.978755007370929131e-03
1.179999999999999938e-01,3.557958139999999325e-01,9.908202334288412558e-03
1.199999999999999956e-01,3.451770730000000009e-01,9.870261273890772874e-03
1.219999999999999973e-01,3.321355560000000540e-01,9.757271693108872032e-03
1.239999999999999991e-01,3.233414710000000469e-01,9.139730593530268760e-03
1.260000000000000009e-01,3.066885929999999538e-01,8.760771385409100998e-03
1.280000000000000027e-01,2.961200339999999764e-01,8.554967367414298765e-03
1.300000000000000044e-01,2.889953729999999998e-01,8.281416338886956469e-03
1.320000000000000062e-01,2.753453519999999877e-01,8.056081258957745531e-03
1.340000000000000080e-01,2.727647910000000064e-01,7.884695763621375059e-03
1.360000000000000098e-01,2.602999049999999426e-01,7.689456344520513575e-03
1.380000000000000115e-01,2.585317349999999847e-01,7.582134356949436077e-03
1.400000000000000133e-01,2.455264070000000021e-01,7.626498241854074746e-03
1.419999999999999873e-01,2.404329209999999661e-01,7.942352988724787552e-03
1.439999999999999891e-01,2.293884589999999890e-01,7.950817091467559869e-03
1.459999999999999909e-01,2.225047249999999588e-01,7.686169615261012784e-03
1.479999999999999927e-01,2.156483520000000431e-01,7.251491446022747048e-03
1.499999999999999944e-01,2.121885769999999338e-01,7.074409899455736707e-03
1.519999999999999962e-01,2.048532299999999973e-01,6.829697946224592628e-03
1.539999999999999980e-01,1.956158639999999727e-01,6.717195855609235829e-03
1.559999999999999998e-01,1.895948929999999311e-01,6.575258257593586710e-03
1.580000000000000016e-01,1.915508549999999643e-01,6.511947678963261182e-03
1.600000000000000033e-01,1.789691429999999972e-01,6.342532574157976923e-03
1.620000000000000051e-01,1.766273189999999493e-01,6.360126838679115539e-03
1.640000000000000069e-01,1.747776939999999279e-01,6.243740409110011720e-03
1.660000000000000087e-01,1.663070460000000139e-01,6.151674990386499578e-03
1.680000000000000104e-01,1.646926339999999489e-01,6.077303806551258118e-03
1.700000000000000122e-01,1.566015929999999834e-01,5.945521255077594949e-03
1.719999999999999862e-01,1.526591469999999950e-01,5.877224482990961799e-03
1.739999999999999880e-01,1.509383369999999780e-01,5.811332156875278175e-03
1.759999999999999898e-01,1.499460159999999598e-01,5.788338935805352990e-03
1.779999999999999916e-01,1.416475469999999848e-01,6.058710824515527171e-03
1.799999999999999933e-01,1.430293000000000259e-01,5.947080565531152711e-03
1.819999999999999951e-01,1.375810250000000234e-01,5.720706700526066724e-03
1.839999999999999969e-01,1.326080079999999439e-01,5.556902376107904218e-03
1.859999999999999987e-01,1.340333289999999788e-01,5.513817086708596750e-03
1.880000000000000004e-01,1.288093880000000246e-01,5.434649978062124943e-03
1.900000000000000022e-01,1.260399849999999655e-01,5.362515136876792009e-03
1.920000000000000040e-01,1.271478120000000267e-01,5.363456014873569343e-03
1.940000000000000058e-01,1.187609599999999710e-01,5.271655748612176680e-03
1.960000000000000075e-01,1.205741740000000339e-01,5.242229907715905204e-03
1.980000000000000093e-01,1.142872810000000183e-01,5.179043103649075795e-03
2.000000000000000111e-01,1.168157699999999855e-01,5.134473078577358671e-03
2.020000000000000129e-01,1.135526969999999802e-01,5.052145798626557320e-03
2.039999999999999869e-01,1.098819330000000427e-01,5.022486238937052920e-03
2.059999999999999887e-01,1.084578430000000537e-01,4.967863880411827089e-03
2.079999999999999905e-01,1.051722689999999849e-01,4.901711253166772704e-03
2.099999999999999922e-01,1.075857130000000272e-01,4.867725336305501506e-03
2.119999999999999940e-01,1.021036839999999724e-01,4.790242672525400931e-03
2.139999999999999958e-01,1.024533580000000499e-01,4.893907751227430381e-03
2.159999999999999976e-01,9.912487799999997184e-02,4.855511155658930912e-03
2.179999999999999993e-01,1.007360529999999921e-01,4.798086703024995875e-03
2.200000000000000011e-01,1.023556079999999868e-01,4.727651679166703161e-03
2.220000000000000029e-01,9.634764300000003834e-02,4.688515832483455305e-03
2.240000000000000047e-01,9.660783500000003077e-02,4.648916620825528472e-03
2.260000000000000064e-01,9.724416400000002181e-02,4.604421852477225997e-03
2.280000000000000082e-01,9.334491300000002934e-02,4.530541941539793088e-03
2.300000000000000100e-01,8.983665599999995921e-02,4.531623240297651817e-03
2.320000000000000118e-01,9.013445400000003049e-02,4.494949701616936244e-03
2.340000000000000135e-01,9.031416500000000180e-02,4.647908107630196496e-03
2.359999999999999876e-01,9.176772199999999602e-02,4.714040663661855576e-03
2.379999999999999893e-01,8.961234800000000833e-02,4.736988737147550602e-03
2.399999999999999911e-01,8.890343400000000340e-02,4.757679244531896369e-03
2.419999999999999929e-01,8.788319799999999571e-02,4.810214433949061737e-03
2.439999999999999947e-01,8.721982600000000030e-02,4.797191587295091160e-03
2.459999999999999964e-01,8.541218400000000210e-02,4.613069947221905102e-03
2.479999999999999982e-01,8.226502699999999058e-02,4.605959556726116344e-03
2.500000000000000000e-01,8.521078699999995454e-02,4.583302230207073925e-03
2.520000000000000018e-01,8.239166300000000387e-02,4.533567410044793758e-03
2.540000000000000036e-01,8.302810899999996108e-02,4.446811813776152533e-03
2.560000000000000053e-01,8.181133299999998609e-02,4.390956206014374509e-03
2.580000000000000071e-01,8.219402900000000178e-02,4.335756252812299379e-03
2.600000000000000089e-01,8.172328499999997886e-02,4.330574506168837975e-03
2.620000000000000107e-01,7.868524299999996030e-02,4.243886508077333343e-03
2.640000000000000124e-01,8.134726999999997155e-02,4.260293265331867654e-03
2.660000000000000142e-01,7.812592400000001325e-02,4.191485169309168250e-03
2.680000000000000160e-01,7.691554600000000130e-02,4.170053698624943440e-03
2.700000000000000178e-01,7.442874599999999008e-02,4.123207852302948964e-03
2.720000000000000195e-01,7.293366299999998192e-02,4.082036608839051915e-03
2.740000000000000213e-01,7.919184700000003740e-02,4.058862488631718307e-03
2.760000000000000231e-01,7.308387999999998996e-02,4.002523023026377698e-03
2.780000000000000249e-01,7.036291399999999863e-02,3.964263299474675081e-03
2.800000000000000266e-01,7.251427300000001797e-02,3.952118504128217594e-03
2.819999999999999729e-01,7.026315999999999118e-02,3.964674618396146419e-03
2.839999999999999747e-01,6.820005599999995338e-02,3.992958275400101606e-03
2.859999999999999765e-01,7.038556400000001156e-02,4.020530956172264220e-03
2.879999999999999782e-01,7.251797800000003846e-02,3.958551248533034687e-03
2.899999999999999800e-01,7.199114499999997863e-02,3.945722666859790943e-03
2.919999999999999818e-01,7.330233399999996902e-02,3.894772779247071721e-03
2.939999999999999836e-01,7.063760699999999115e-02,3.871560526229679208e-03
2.959999999999999853e-01,6.879254499999998274e-02,3.824519352059483745e-03
2.979999999999999871e-01,6.716971799999998938e-02,3.840651603424487942e-03
2.999999999999999889e-01,6.641385299999996716e-02,3.195222077056555747e-03
3.039999999999999925e-01,6.699733099999999331e-02,2.698579777253750072e-03
3.079999999999999960e-01,6.567346299999998749e-02,2.642728891373059569e-03
3.119999999999999996e-01,6.406011300000002961e-02,2.610284771435123722e-03
3.160000000000000031e-01,6.493742400000002135e-02,2.592899074574154649e-03
3.200000000000000067e-01,6.348511399999995364e-02,2.623074379278834880e-03
3.240000000000000102e-01,6.479418500000000414e-02,2.565705627079265406e-03
3.280000000000000138e-01,6.302955700000001382e-02,2.536246823421945892e-03
3.320000000000000173e-01,6.099914700000003132e-02,2.495492351378545814e-03
3.360000000000000209e-01,5.876306000000003360e-02,2.468617169946302464e-03
3.400000000000000244e-01,6.106595300000000615e-02,2.447447614167744170e-03
3.439999999999999725e-01,5.819781400000001437e-02,2.417549479788901924e-03
3.479999999999999760e-01,5.461988600000000638e-02,2.389495519665148313e-03
3.519999999999999796e-01,5.824516899999998554e-02,2.402377678334096170e-03
3.559999999999999831e-01,5.697861199999998405e-02,2.491066916850021799e-03
3.599999999999999867e-01,5.763727400000001611e-02,2.531228974533279979e-03
3.639999999999999902e-01,5.685669500000001264e-02,2.553803176931104205e-03
3.679999999999999938e-01,5.592331799999999964e-02,2.513837223080882428e-03
3.719999999999999973e-01,5.649578099999996716e-02,2.445318193562605324e-03
3.760000000000000009e-01,5.835551899999996683e-02,2.441406327355062026e-03
3.800000000000000044e-01,5.505532699999998725e-02,2.430793323743313944e-03
3.840000000000000080e-01,5.839876699999996257e-02,2.425476558487125230e-03
3.880000000000000115e-01,5.821562499999999307e-02,2.445814665821827508e-03
3.920000000000000151e-01,6.148031599999997932e-02,2.488924581515894463e-03
3.960000000000000187e-01,6.040965900000000444e-02,2.476108878074966772e-03
4.000000000000000222e-01,6.089455199999999069e-02,2.475799752581052046e-03
4.040000000000000258e-01,5.867129100000001429e-02,2.460863645774948472e-03
4.079999999999999738e-01,6.027462500000002610e-02,2.450165408190037569e-03
4.119999999999999774e-01,5.767928799999999523e-02,2.420322387940339066e-03
4.159999999999999809e-01,5.488457600000001824e-02,2.376469867274985746e-03
4.199999999999999845e-01,5.475455799999995321e-02,2.361371676943008723e-03
4.239999999999999880e-01,5.154014900000003507e-02,2.384312599796703600e-03
4.279999999999999916e-01,5.049724799999999458e-02,2.389980105584082592e-03
4.319999999999999951e-01,4.884038499999998617e-02,2.403026657607659679e-03
4.359999999999999987e-01,4.728506599999998672e-02,2.400506942439315124e-03
4.400000000000000022e-01,5.007993200000004919e-02,2.395747504331467367e-03
4.440000000000000058e-01,5.114158499999998941e-02,2.382465665627329140e-03
4.480000000000000093e-01,4.775315099999999369e-02,2.392722445886329933e-03
4.520000000000000129e-01,4.682041800000003029e-02,2.387876037303733601e-03
4.560000000000000164e-01,4.832956199999999258e-02,2.393627309177575203e-03
4.600000000000000200e-01,4.731242499999999129e-02,2.390586271986098674e-03
4.640000000000000235e-01,4.855964100000004224e-02,2.403279904958995246e-03
4.680000000000000271e-01,4.907959099999997798e-02,2.407610174941014064e-03
4.719999999999999751e-01,4.917198999999999875e-02,2.419348431439176036e-03
4.759999999999999787e-01,4.570244599999995216e-02,2.437793709883317225e-03
4.799999999999999822e-01,4.731457299999997090e-02,2.572258925061322692e-03
4.839999999999999858e-01,4.692422600000001331e-02,2.646847729194139447e-03
4.879999999999999893e-01,4.728589399999999499e-02,2.655577327514852155e-03
4.919999999999999929e-01,4.929822099999997542e-02,2.569204588625128519e-03
4.959999999999999964e-01,4.697422499999998058e-02,2.539704521652793711e-03
5.000000000000000000e-01,4.960564900000002941e-02,2.522860033290261206e-03
5.040000000000000036e-01,4.601745800000001108e-02,2.504601213653210538e-03
5.080000000000000071e-01,4.670122300000001392e-02,2.496187251439024521e-03
5.120000000000000107e-01,4.489629000000000536e-02,2.511194879585865961e-03
5.160000000000000142e-01,4.488398900000001301e-02,2.507108860709403135e-03
5.200000000000000178e-01,4.692180799999995378e-02,2.504786014071031831e-03
5.240000000000000213e-01,4.651949399999999457e-02,2.502754358685925409e-03
5.280000000000000249e-01,4.567270299999998118e-02,2.494814531044913051e-03
5.320000000000000284e-01,4.699520499999998435e-02,2.490910350065508524e-03
5.360000000000000320e-01,4.430111700000000097e-02,2.503435194117190239e-03
5.400000000000000355e-01,4.379482200000001102e-02,2.497964148363622256e-03
5.440000000000000391e-01,4.593004100000003254e-02,2.618688051098209089e-03
5.480000000000000426e-01,4.562394200000002842e-02,2.568096999903064608e-03
5.520000000000000462e-01,4.503408599999997319e-02,2.543512443331643908e-03
5.560000000000000497e-01,4.244784699999998301e-02,2.503259740204679534e-03
5.600000000000000533e-01,4.412786800000001453e-02,2.471528590061377543e-03
5.639999999999999458e-01,4.596770399999999812e-02,2.487911586120849106e-03
5.679999999999999494e-01,4.368206299999999320e-02,2.485239397176054830e-03
5.719999999999999529e-01,4.334546200000000127e-02,2.477724738301398475e-03
5.759999999999999565e-01,4.295669500000004470e-02,2.463270913359261530e-03
5.799999999999999600e-01,4.259542599999999180e-02,2.476539257308702380e-03
5.839999999999999636e-01,4.333502900000002489e-02,2.474787983070203361e-03
5.879999999999999671e-01,4.024461699999998254e-02,2.476797062170230102e-03
5.919999999999999707e-01,3.896762399999997850e-02,2.473982916529540201e-03
5.959999999999999742e-01,4.182052099999999939e-02,2.463670251702662021e-03
5.999999999999999778e-01,4.280132199999997500e-02,2.610581748390155242e-03
6.039999999999999813e-01,4.003778099999999451e-02,2.734251460271278598e-03
6.079999999999999849e-01,4.215048699999995874e-02,2.847412316187606599e-03
6.119999999999999885e-01,3.745286300000000290e-02,2.706992423188901969e-03
6.159999999999999920e-01,4.084252999999998801e-02,2.634753716596874816e-03
6.199999999999999956e-01,3.798988300000000207e-02,2.591709196536207647e-03
6.239999999999999991e-01,3.808200600000000158e-02,2.583831272863078028e-03
6.280000000000000027e-01,3.814613299999997098e-02,2.583133740057545671e-03
6.320000000000000062e-01,3.713197599999995546e-02,2.579542842801440389e-03
6.360000000000000098e-01,3.874178799999999923e-02,2.575742091828221898e-03
6.400000000000000133e-01,3.609485000000001165e-02,2.539397373399872315e-03
6.440000000000000169e-01,3.674565600000001542e-02,2.510900353570163102e-03
6.480000000000000204e-01,3.663811499999997112e-02,2.488069508319994041e-03
6.520000000000000240e-01,3.374237400000001941e-02,2.491726022758654433e-03
6.560000000000000275e-01,3.524911599999996925e-02,2.487823594107593100e-03
6.600000000000000311e-01,3.479987900000003354e-02,2.486916952918837628e-03
6.640000000000000346e-01,3.493906499999999138e-02,2.582470846790000871e-03
6.680000000000000382e-01,3.392790600000000767e-02,2.559995036941360366e-03
